comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
4.5846486,3.570899,4.7128854,1.6742538,1.5795841,7.0366745,2.1472828,3.732305,1008069_F.jpg
4.6008043,3.663753,4.590335,1.8516271,1.4345387,6.8402643,2.110998,3.503619,1008070_F.jpg
5.1931047,3.692373,5.002177,1.760886,1.7917638,7.1432548,2.396463,4.1110773,1008071_F.jpg
5.2604837,4.3752403,5.1544485,2.2827883,1.6679989,7.445658,2.5195642,4.0953846,1008072_F.jpg
5.1725826,3.867948,5.0362654,1.8989947,1.9077888,7.786479,2.3634124,4.537074,1008073_F.jpg
5.305817,3.5942497,4.9717507,1.9462104,1.9163737,7.252611,2.5125322,4.106321,1008074_F.jpg
5.665613,4.2198143,3.9211879,2.186006,2.2233024,6.7637906,2.2364035,4.2915907,1008076_F.jpg
5.0507717,3.9183044,4.2124434,2.4253652,2.2410095,6.1214523,2.561781,4.0275946,1008077_F.jpg
5.513582,4.132537,4.2201123,2.448525,2.345313,6.3104753,2.5465136,4.4575033,1008079_F.jpg
5.097988,3.6828532,3.8072948,1.778902,1.9277749,6.4537425,2.021909,4.0029593,1008082_F.jpg
5.557787,4.3966565,4.3855386,2.6536782,2.4159007,6.9467015,2.5222025,4.7071686,1008085_F.jpg
5.166522,3.7614574,4.5578423,1.8909831,1.7402431,6.820052,2.2310655,3.9765348,1008086_F.jpg
4.7021203,3.424612,4.276193,1.9419819,2.041752,6.0567727,2.4022775,3.747612,1008087_F.jpg
4.635507,3.4231582,4.2264066,1.6057258,1.8190527,6.3743267,2.0919409,3.7584403,1008088_F.jpg
5.1610155,3.9408467,4.4420815,2.362233,2.170764,6.361739,2.623384,4.06297,1008089_F.jpg
4.656831,3.3782034,4.124686,1.7839599,1.8237536,5.8680162,2.1075387,3.5503273,1008090_F.jpg
5.4581532,4.4411125,4.2299166,2.427315,2.2934623,6.9071245,2.3193874,4.5716023,1008091_F.jpg
4.8742275,3.8167055,4.3564844,1.9559904,1.7994355,6.129749,2.1731172,3.8428633,1008092_F.jpg
4.9896064,3.6899447,4.404317,2.1109061,1.9357209,6.5703154,2.3410764,3.8061895,1008093_F.jpg
4.161909,3.46097,4.248124,1.710884,1.4739178,5.65806,2.0147521,3.2139783,1008094_F.jpg
4.199437,3.1425874,4.0309186,1.4076146,1.478678,5.4093366,1.8457847,3.1690745,1008096_F.jpg
4.8361826,4.1189327,4.137894,2.2932749,2.2105217,6.283436,2.3877969,4.241483,1008097_F.jpg
1.9932587,1.9026127,1.9801588,0.85870194,1.3625262,2.5988288,0.8686663,1.5202589,1008098_F.jpg
2.1557412,2.0714183,2.1353505,0.8023162,1.1557572,2.698033,0.8550797,1.5867796,1008099_F.jpg
2.3087227,2.0571425,2.5286198,0.68457186,0.90064216,2.8566294,0.8890157,1.5581356,1008100_F.jpg
5.309786,3.9652863,4.7384443,2.2103503,2.0651028,6.878087,2.5031848,4.2465014,1008101_F.jpg
3.9280171,2.847041,3.795156,1.5343785,1.5923729,5.2426233,1.818229,2.8472345,1008103_F.jpg
4.5646105,3.4719415,4.4515505,1.7760708,2.0232954,6.4962974,2.3370416,3.8357668,1008104_F.jpg
2.433548,2.1861978,2.3769648,0.8388345,1.065731,3.1068063,0.90244687,1.783523,1008105_F.jpg
3.6204734,3.017783,3.2048898,1.58884,1.8964796,5.01827,1.5914009,3.2646787,1008106_F.jpg
7.2147913,5.852449,5.8889694,2.4457045,1.9742385,9.945351,2.1731143,5.472904,1008107_F.jpg
4.5075235,3.2376523,3.8365233,1.6217626,1.7312859,5.3092127,1.8188767,3.6082137,1008109_F.jpg
3.2605505,2.8916037,3.096906,1.2414428,1.2494016,4.9804063,1.2184774,2.4841537,1008110_F.jpg
4.3972387,3.2373555,4.2574863,1.5492754,1.577166,6.0373964,2.0110638,3.688152,1008111_F.jpg
2.6298294,2.45403,2.2685122,1.1663132,1.5469639,3.7164643,0.94827455,2.1919398,1008113_F.jpg
4.698184,3.751592,4.3764286,1.7560356,1.707035,6.982768,2.2661028,3.7920465,1008114_F.jpg
5.0659986,4.218606,4.3224463,1.85638,2.2084882,7.3613133,1.6635208,4.0304146,1008115_F.jpg
1.9783709,2.0142956,2.0430558,0.82634926,1.1848814,2.484673,0.79370916,1.560483,1008116_F.jpg
6.35034,4.6582375,5.2385964,2.17143,2.181292,8.173138,2.130176,4.731616,1008118_F.jpg
2.2711024,2.289739,2.4223933,0.9039534,1.0409389,3.040749,0.8630915,1.8675581,1008119_F.jpg
4.1901407,3.2417214,3.6797214,1.6798639,1.8398418,5.5342817,1.9653789,3.3179474,1008120_F.jpg
2.8559642,2.2531743,2.8358645,0.8351612,0.98838866,3.363103,1.0631155,2.078493,1008123_F.jpg
5.6966906,6.2288127,4.5612173,3.1914504,2.2132468,8.446991,2.4524431,5.4536037,1008124_F.jpg
1.9940603,2.012554,2.0333705,0.82763964,1.1831276,2.5018992,0.802807,1.5684032,1008125_F.jpg
4.227226,3.295501,3.8405309,1.6836407,1.8105109,5.6969147,1.9746002,3.3417268,1008126_F.jpg
5.2135515,4.372441,4.3635464,2.4012294,2.223662,7.09223,2.40585,4.4525623,1008128_F.jpg
4.6275616,3.8035564,4.5537243,1.9284676,1.5590757,7.0282187,2.0815897,3.7806983,1008129_F.jpg
4.322953,3.2805529,3.966774,1.7620122,1.8081143,5.747303,2.0397816,3.3196616,1008130_F.jpg
3.552554,2.5284376,3.2017355,1.3769834,1.6789804,4.541624,1.5140941,2.598544,1008131_F.jpg
3.299626,2.2535481,2.9283748,1.2601013,1.8558666,4.0348024,1.5019141,2.54202,1008132_F.jpg
5.3956633,4.0022435,4.0520806,2.0297995,2.1751118,6.8205223,2.180346,4.36965,1008133_F.jpg
1.9191697,1.9354414,1.8234067,0.9562702,1.4901605,2.4361951,0.8364074,1.5209253,1008134_F.jpg
5.571785,5.281131,5.304944,2.5411854,1.8985302,8.948568,2.4785686,4.9496193,1008135_F.jpg
4.0488663,3.980876,4.1974936,2.0128603,1.5664382,6.1965413,1.9675455,3.3581457,1008136_F.jpg
5.0657396,4.0508494,4.4223423,2.0709734,2.2498271,7.0381365,2.4873538,4.6833797,1008137_F.jpg
4.234717,3.370104,4.066723,1.5438577,1.6601045,5.8052454,2.0144248,3.5143495,1008138_F.jpg
3.8807967,2.8414936,3.246337,1.4872998,2.0811603,4.506448,1.6771452,3.2810316,1008139_F.jpg
4.2919655,3.1199627,4.0886335,1.4055941,1.7299948,6.099022,2.0718274,3.5390475,1008140_F.jpg
4.7998395,3.9541516,4.370672,1.8313622,1.8829546,6.8595657,2.1469536,4.247907,1008142_F.jpg
4.0914197,3.4765294,4.039524,1.7753172,1.7375448,5.874584,1.9406894,3.42107,1008143_F.jpg
5.3108006,4.8485107,5.16484,2.2860594,1.9458791,8.296305,2.4995556,5.1618843,1008144_F.jpg
3.8789692,2.9994984,4.1175995,1.2926776,1.5990914,5.817546,1.8387368,3.1046152,1008145_F.jpg
5.6524568,3.9280887,4.5283327,1.9409728,1.7993177,6.875581,2.3164444,4.3680906,1008146_F.jpg
4.189266,4.373885,4.572997,2.1205168,1.5638611,6.586137,2.035981,3.6383424,1008147_F.jpg
3.7444525,3.788706,3.807567,1.6273233,1.3763804,5.966748,1.5167007,3.6539922,1008148_F.jpg
4.6101246,4.559058,4.3047743,2.1782608,1.7315179,6.909369,1.9396105,4.047265,1008149_F.jpg
4.44465,3.8617778,4.3409815,1.8001419,1.6017879,6.6870856,1.898592,4.0365925,1008150_F.jpg
4.329042,4.174457,4.3404,2.00273,1.9263349,6.9987373,2.110312,4.1118116,1008151_F.jpg
4.235593,3.0438046,4.1146483,1.3725665,1.4874747,5.7328978,1.9406097,3.4479861,1008152_F.jpg
4.3916373,3.1768074,4.247199,1.619873,1.5504575,5.856181,1.8812884,3.4268856,1008153_F.jpg
5.4914885,5.236696,5.094551,2.6912894,2.1079276,8.326368,2.5232425,4.965149,1008154_F.jpg
2.89008,2.6872294,3.0928426,1.1265116,1.154753,4.3498163,1.1304694,2.4538321,1008155_F.jpg
1.9681773,1.9365382,1.9286318,0.8705708,1.3640792,2.441708,0.8099842,1.5533836,1008156_F.jpg
4.655134,3.377747,4.5893884,1.5847263,1.6858859,6.5460796,2.1148083,3.7302895,1008157_F.jpg
4.7258244,4.134703,4.56998,1.9272207,1.8850341,6.9928956,2.070846,4.4378343,1008158_F.jpg
4.6397023,4.066684,4.3006964,1.8910707,1.7429149,6.6829777,1.9372466,4.1610518,1008159_F.jpg
5.160773,6.437279,4.204789,2.6440701,1.5803299,9.578724,1.4195925,5.726422,1012002_F.jpg
6.559184,5.853921,6.0341263,2.424603,1.4872243,10.675981,2.4105203,5.25407,1012003_F.jpg
4.407946,4.485394,4.1792808,1.8373905,1.2514663,7.3340006,1.435526,3.9001791,1012004_F.jpg
8.355627,8.570416,6.5956755,3.6885622,2.1430275,13.714505,2.4860132,7.8656855,1012005_F.jpg
5.045646,4.807001,4.360687,1.8589759,1.4565593,8.075151,1.3611501,4.488332,1012006_F.jpg
5.3914948,3.91453,5.0090685,1.751331,1.582337,6.8549385,1.9871505,3.8443484,1012007_F.jpg
4.597367,3.819846,4.430271,1.5441767,1.2445769,6.325252,1.622754,3.556548,1012008_F.jpg
3.7457495,3.3920002,3.7572205,1.1796075,1.0039594,5.8406744,1.2545892,2.7778573,1012009_F.jpg
6.3327074,5.0625525,5.250093,2.26617,2.2507002,8.800816,2.265615,4.8384953,1012011_F.jpg
2.2758288,2.3749933,2.030404,1.020611,1.3843381,3.0293915,0.8915475,1.9840281,1012012_F.jpg
4.201185,4.8972645,3.5630922,1.8367285,1.4167237,6.4450016,1.0754372,4.3423333,1012013_F.jpg
6.736018,3.7316217,5.8951783,1.821975,1.9951966,8.054989,2.7100172,4.267947,1012015_F.jpg
5.604738,3.9691052,4.7652173,1.8834838,1.7488729,7.075061,2.1373873,4.2115016,1012016_F.jpg
5.1158752,5.089818,4.4922543,1.8602105,1.6409484,7.8199186,1.4696796,4.6688323,1012017_F.jpg
5.9269037,4.1745205,5.429899,1.8691362,1.7158043,8.0676,2.2933955,4.390749,1012018_F.jpg
5.865146,5.099394,4.8200235,1.8685994,1.7942972,8.050953,1.818811,4.742844,1012019_F.jpg
4.117813,5.2138915,3.832553,1.907181,1.2207105,7.0966663,0.94707155,4.6342463,1012021_F.jpg
5.606663,4.4880404,5.1725864,1.8209351,1.5134678,7.7641387,1.877876,4.3099823,1012022_F.jpg
8.051295,7.0538,6.9954414,2.9218707,1.9356261,11.315388,2.3628058,7.261717,1012023_F.jpg
4.651883,4.159655,4.45212,1.5863273,1.2427616,6.7578945,1.4438232,3.9164343,1012024_F.jpg
3.364729,3.7667294,3.6338835,1.6199347,1.0718224,5.708381,1.3140122,2.9949465,1012027_F.jpg
3.6077845,4.3047295,2.619307,1.9946547,2.0283284,5.517416,1.2455693,3.7328258,1012028_F.jpg
4.4699945,3.5487738,3.7403536,1.8038872,1.8870119,5.7675047,1.8705225,3.4041052,1012029_F.jpg
4.036018,3.521358,3.209867,1.7389121,1.8508298,5.497302,1.5584557,3.2445786,1012030_F.jpg
3.0220623,3.9816537,2.1200008,1.8320546,1.8474457,4.815711,1.0812386,3.2595043,1012031_F.jpg
3.1960735,2.8199291,3.1546974,1.1087396,1.1447293,4.523972,1.1379318,2.5336308,1012032_F.jpg
3.1906142,3.553692,2.6755242,1.6772103,1.7591126,4.788123,1.2246658,2.993723,1012034_F.jpg
3.1748102,3.1106257,2.9272213,1.5130031,1.6789253,4.588683,1.4635224,2.6787663,1012036_F.jpg
4.597942,3.580501,3.9618843,1.8293278,1.9628389,5.7375016,1.9228017,3.3224735,1012039_F.jpg
3.271654,2.964018,3.2875633,1.3375858,1.4909245,4.6784,1.3835156,2.5817208,1012040_F.jpg
3.1124592,3.987743,2.1136696,1.7900844,1.8667859,4.997674,1.0868618,3.3385372,1012042_F.jpg
3.9037337,3.615977,3.2821531,1.7143596,1.7587242,5.3307476,1.5635128,3.2182329,1012044_F.jpg
3.9461389,3.4661005,3.2989771,1.5862212,1.8465077,5.484293,1.4848504,3.323112,1012045_F.jpg
3.0221896,2.7267833,2.674373,1.2339149,1.4590576,4.2158737,1.1760972,2.3966413,1012046_F.jpg
3.273241,3.5982237,2.6210895,1.7180505,1.7857833,4.8912573,1.2385404,3.0935783,1012047_F.jpg
5.16573,4.318846,4.918169,1.604805,1.3330799,6.887,1.6603581,4.27294,1012048_F.jpg
6.9520264,6.4010096,6.1807923,2.5381613,2.0938153,9.993163,2.1342797,5.698016,1012050_F.jpg
2.9739904,3.6325622,2.5950181,1.4612566,1.4722106,4.6953573,0.93799126,3.0493279,1012052_F.jpg
5.077718,4.08333,5.3180842,1.4963775,1.256277,6.797187,1.7460763,3.8578162,1012053_F.jpg
7.6609154,5.7472644,6.349269,2.4414663,1.894119,10.229185,2.5602856,5.3417807,1012055_F.jpg
3.283212,2.9200883,3.1890159,1.193116,1.2949853,4.558243,1.1861213,2.616063,1012056_F.jpg
